,Book_Series,Author,Original_Language,No_of_Installments,Years_of_Publication,Approximate_Sales,Genre_1,Genre_2,First_Installment_Published,Last_Installment_Published,No_of_Main_Books,No_of_Extras,Extras,All_Genre
12,ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33600000,,,1976,2016,40,,False,
14,The Inheritance Cycle,Christopher Paolini,English,5 + 1 companion book,2002–2023,33000000,,,2002,2023,5,1.0,True,
16,とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004-2025,30000000,,,2004,2025,46,,False,
17,徳川家康 [ja] (Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30000000,,,1950,1967,26,,False,
18,Ramona,Beverly Cleary,English,8,1955–1999,30000000,,,1955,1999,8,,False,
19,The Dark Tower,Stephen King,English,8,1982–2012,30000000,,,1982,2012,8,,False,
20,Dork Diaries,Rachel Renée Russell,English,15,2009–2018,30000000,,,2009,2018,15,,False,
1,涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–2025,20000000,,,2003,2025,11,,False,
3,科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–2025,19000000,,,1970,2025,,,True,
4,剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18000000,,,1972,1989,18,,False,
5,Erast Fandorin series,Boris Akunin,Russian,12,1998–2025,18000000,,,1998,2025,12,,False,
6,Dragonriders of Pern,Anne McCaffrey,English,23,1967–2025,18000000,,,1967,2025,23,,False,
7,吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–2025,17000000,,,1983,2025,39,,False,
9,ぼくらシリーズ [ja] (Bokura series),Osamu Soda,Japanese,36,1985–2025,15000000,,,1985,2025,36,,False,
10,Bridget Jones,Helen Fielding,English,3,1996–2025,15000000,,,1996,2025,3,,False,
11,His Dark Materials,Philip Pullman,English,3,1995–2000,15000000,,,1995,2000,3,,False,
12,銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15000000,,,1982,1989,14,,False,
13,The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–2025,15000000,,,1999,2025,23,,False,
14,Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–2025,15000000,,,1992,2025,,,True,
15,The Riftwar Cycle,Raymond E. Feist,English,25,1982–2025,15000000,,,1982,2025,25,,False,
16,The Thrawn trilogy,Timothy Zahn,English,3,1991–1993,15000000,,,1991,1993,3,,False,
17,Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15000000,,,1990,2013,9,,False,
18,14ひきのシリーズ [ja] (The family of fourteen),Kazuo Iwamura [ja],Japanese,,1983–2025,15000000,,,1983,2025,,,True,
7,The Railway Series,"Rev. W. Awdry,  Christopher Awdry",English,42,1945–2011,201000000,,,1945,2011,42,,False,
21,Chicken Soup for the Soul,"Jack Canfield,  Mark Victor Hansen",English,105,1997–2025,130000000,,,1997,2025,105,,False,
27,Mr. Men,"Roger Hargreaves,  Adam Hargreaves",English,43,1971–2025,120000000,,,1971,2025,43,,False,
31,Martine,"Gilbert Delahaye,  Marcel Marlier",French,60,1954–2014,100000000,,,1954,2014,60,,False,
32,Millennium,"Stieg Larsson,  David Lagercrantz",Swedish,6,2005–2025,100000000,,,2005,2025,6,,False,
1,The Wheel of Time,"Robert Jordan,  Brandon Sanderson",English,15,1990–2013,90000000,,,1990,2013,15,,False,
13,Left Behind,"Tim LaHaye,  Jerry B. Jenkins",English,16,1996–2007,65000000,,,1996,2007,16,,False,
16,All Creatures Great and Small,"Alf Wight,  as James Herriot",English,8,1970–1992,60000000,,,1970,1992,8,,False,
18,The Magic School Bus,"Joanna Cole,  illustrated by Bruce Degen",English,131,1986–2010,58000000,,,1986,2010,131,,False,
20,Men Are from Mars," Women Are from Venus, John Gray",English,15,1992–2025,50000000,,,1992,2025,15,,False,
13,グイン・サーガ (Guin Saga),"Kaoru Kurimoto,  Yu Godai",Japanese,149,1979–2024,33000000,,,1979,2024,149,,False,
21,The Destroyer,"Warren Murphy and Richard Sapir,  various authors",English,150,1971–2025,30000000,,,1971,2025,150,,False,
15,"Rich Dad,  Poor Dad","Robert Kiyosaki,  Sharon Lechter",English,18,1997-2025,32000000,,,1997,2025,18,,False,
0,Doc Savage,"Lester Dent,  various authors",English,203,1933–2025,20000000,,,1933,2025,203,,False,
2,一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),"Tomiyasu Takahara,  Various authors",Japanese,95,1975-1980,19000000,,,1975,1980,95,,False,
8,The Hitchhiker's Guide to the Galaxy,"Douglas Adams,  plus a final book by Eoin Colfer",English,6,1979–2008,16000000,,,1979,2008,6,,False,
0,地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29000000,science fiction,,2008,2010,3,,False,science fiction
