Book, Author(s), Original Language, First Published, Approximate Sales, Genre
A Tale of Two Cities,Charles Dickens,English,1859,>200 million[21],Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200 million[22][23][24],Fantasy, children's fiction
The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,150 million[25][26],Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120 million[27][28],Fantasy, children's fiction
And Then There Were None,Agatha Christie,English,1939,100 million[29],Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,Chinese,1791,100 million[30][31],Family saga
The Hobbit,J. R. R. Tolkien,English,1937,100 million[32][33][34],Fantasy, children's fiction
Alice's Adventures in Wonderland,Lewis Carroll,English,1865,100 million[35],Fantasy, absurdist fiction
