,Count of Non Null Values,Mean,Standard Deviation,Minimum,Lower Quantile (25%),Median (50%),Upper Quantile (75%),Maximum
Number of Main Books,123.0,64.0,99.9,2.0,10.0,24.0,71.0,700.0
Number of Extra Books,12.0,5.6,5.6,1.0,2.5,4.0,7.2,21.0
